MAGs	count	percentage
336R_concoct_107	31459.48569	0.000143395
336R_concoct_137	6372.866393	2.90482E-05
336R_concoct_171_sub	9727.513448	4.4339E-05
336R_concoct_189_sub	20556.49231	9.36985E-05
336R_concoct_227_sub	20589.34909	9.38483E-05
336R_concoct_229	10251.86701	4.6729E-05
336R_concoct_237	59524.04999	0.000271316
336R_concoct_238	24112.97145	0.000109909
336R_concoct_272_sub	3871.191768	1.76453E-05
336R_concoct_288_sub	4926.643346	2.24561E-05
336R_concoct_292_sub	27818.99522	0.000126802
336R_concoct_308_sub	39925.25899	0.000181983
336R_concoct_310_sub	6596.963636	3.00696E-05
336R_concoct_315	33176.35121	0.000151221
336R_concoct_63	31900.35411	0.000145405
336R_concoct_84_sub	71550.03067	0.000326132
336R_metabat_250_sub	3458.787246	1.57655E-05
336R_metabat_261	32810.71278	0.000149554
336R_metabat_264	708.2080211	3.22808E-06
336R_metabat_339_sub	49177.59868	0.000224156
336R_metabat_38	71807.70301	0.000327307
336R_metabat_67	2165.694293	9.87145E-06
336R_metabinner_10	789.0891782	3.59675E-06
336R_metabinner_104	21565.37861	9.82971E-05
336R_metabinner_177_sub	97063.74294	0.000442426
336R_metabinner_21	25937.86431	0.000118227
336R_metabinner_23	2372.428128	1.08138E-05
336R_metabinner_25	49621.25814	0.000226179
336R_metabinner_28	6285.8731	2.86516E-05
336R_metabinner_29_sub	5847.70498	2.66544E-05
336R_metabinner_34	25905.90647	0.000118082
336R_metabinner_39	32620.30436	0.000148687
336R_metabinner_45_sub	9112.482861	4.15356E-05
336R_metabinner_49	18446.75683	8.40821E-05
336R_metabinner_51	13053.4609	5.9499E-05
336R_metabinner_61	10164.04243	4.63287E-05
336R_metabinner_68	7507.308368	3.4219E-05
336R_metabinner_76_sub	159980.3026	0.000729206
336R_metabinner_8	5696.755973	2.59664E-05
337R_concoct_5_sub	5341.726686	2.43481E-05
337R_metabat_172	43071.07886	0.000196322
337R_metabinner_1	18796.90496	8.56781E-05
337R_metabinner_13	8159.216303	3.71905E-05
337R_metabinner_14	66792.72838	0.000304448
337R_metabinner_19	87560.87877	0.000399111
337R_metabinner_26_sub	168559.1786	0.000768309
337R_metabinner_31	64737.50017	0.00029508
337R_metabinner_52	99631.02105	0.000454128
337R_metabinner_9	15847.86013	7.22361E-05
338R_concoct_142	4970.529524	2.26562E-05
338R_concoct_148	239908.9103	0.001093528
338R_concoct_161	58888.57126	0.00026842
338R_concoct_193	45755.09154	0.000208556
338R_concoct_195	56845.88487	0.000259109
338R_concoct_206	90310.7044	0.000411645
338R_concoct_227	3938.664878	1.79528E-05
338R_concoct_33_sub	34027.07331	0.000155099
338R_concoct_41_sub	10351.26879	4.71821E-05
338R_concoct_47	737504.5477	0.003361618
338R_concoct_51_sub	39157.5455	0.000178484
338R_concoct_65	40613.97079	0.000185122
338R_concoct_82	31732.56634	0.00014464
338R_concoct_94	70971.94652	0.000323497
338R_metabat_123	80152.42818	0.000365343
338R_metabinner_10	8365.703116	3.81317E-05
338R_metabinner_17	9252.462964	4.21736E-05
338R_metabinner_18	65754.9062	0.000299717
338R_metabinner_2	3388.03108	1.5443E-05
338R_metabinner_30	3868.747527	1.76341E-05
338R_metabinner_33_sub	20144.3406	9.18199E-05
338R_metabinner_42	16256.13985	7.40971E-05
338R_metabinner_45_sub	126918.8388	0.000578509
338R_metabinner_5	10036.96629	4.57495E-05
339R_concoct_126_sub	30867.61073	0.000140698
339R_concoct_132_sub	43906.59078	0.000200131
339R_concoct_170_sub	85155.69447	0.000388148
339R_concoct_180	86468.84936	0.000394134
339R_concoct_49	49525.42674	0.000225742
339R_concoct_57	116984.2052	0.000533226
339R_concoct_81_sub	19122.83664	8.71638E-05
339R_concoct_84_sub	20576.13069	9.3788E-05
